"family_name","species","category"
"MYRISTICACEAE","Iryanthera campinae","VU"
"MYRISTICACEAE","Iryanthera obovata","LC"
"MYRISTICACEAE","Virola bicuhyba","EN"
"MYRISTICACEAE","Virola parvifolia","VU"
"MYRISTICACEAE","Virola surinamensis","VU"
